symbol,n_train,mean,std,tau_0.95,tau_0.975,tau_0.99,n_events_99
AAVE,17508,0.00014872634241397444,0.009627785825896379,0.01428103296589219,0.0196629797131431,0.028602567450873015,215
AVAX,17508,0.00011506944676362591,0.009630734081576718,0.013927649642794544,0.019558919776014014,0.02917326641565475,192
CRO,17508,9.129476915411996e-05,0.00886994417131944,0.010757550502259407,0.016245431049812135,0.02526537589399331,224
DOT,17508,5.8993570754479244e-05,0.008334435027391843,0.011808699924313822,0.01634811001097047,0.023408938887199745,210
ETC,17508,6.207548500837308e-05,0.008332652160093762,0.011417671544362802,0.016552759670776556,0.025171183111546997,199
HBAR,17508,0.000168700743221556,0.010715026242444178,0.014540901497010603,0.02024305861470956,0.03181911564818015,178
ICP,17507,0.00010766560260876591,0.010566401053807494,0.015486263855969564,0.021363810106260886,0.03082495924114399,201
LINK,17508,0.00011214449833914285,0.008735167297269347,0.012710044906714924,0.01755798157239305,0.025424839852202633,219
NEAR,17508,0.00013950587373230534,0.011066970341040814,0.016853932584269593,0.02321369832970142,0.031981536352825024,207
OKB,17508,5.776581150586952e-05,0.0069521719193526435,0.009260553268343958,0.013598736918664684,0.02186389606965079,219
SHIB,17508,0.00011714735746531022,0.011214118474665703,0.012944584887638465,0.019307062446255442,0.029778046995280257,164
TAO,15878,0.00023911331007915387,0.016553779140906152,0.026502615222068527,0.03566099855315754,0.0481377823293185,160
TON,17507,8.923438595387047e-05,0.00879238512013523,0.01271186440677985,0.017047928285969783,0.025085929665617304,172
XLM,17508,0.00012297867639363486,0.008546341594652757,0.010103525466994242,0.01451500896799248,0.0237096713036782,212
XMR,17492,3.87352381951695e-05,0.006851240982347749,0.009620371489873443,0.012772613812069936,0.017895797675215205,292
ZEC,17508,7.019020601383123e-05,0.00932253963789959,0.013231784711642176,0.018342971689560745,0.025541164144890535,368
LTC,17508,5.110091382935857e-05,0.007759880512564788,0.010299223695155535,0.014283493913281785,0.02162856240022581,231
UNI,17508,0.00010255736936736685,0.00994909809637744,0.013532315538113095,0.0187372490857981,0.027053827747326162,218
