model,score_col,theta_min,EventRecall,FA_per_Day,AvgAlerts_per_Day,n_alerts
XGBoost,xgb_score,0.0,0.7865,51.07,54.06,9918
XGBoost,xgb_score,0.02,0.7865,51.07,54.06,9918
XGBoost,xgb_score,0.04,0.7865,51.07,54.06,9918
XGBoost,xgb_score,0.06,0.7865,51.07,54.06,9918
XGBoost,xgb_score,0.08,0.7865,51.07,54.06,9918
XGBoost,xgb_score,0.1,0.7851,51.04,54.03,9912
XGBoost,xgb_score,0.12,0.7851,50.95,53.94,9896
XGBoost,xgb_score,0.14,0.7822,50.79,53.77,9864
XGBoost,xgb_score,0.16,0.7822,50.38,53.36,9789
XGBoost,xgb_score,0.18,0.7808,49.78,52.75,9677
XGBoost,xgb_score,0.2,0.7822,49.14,52.12,9561
XGBoost,xgb_score,0.22,0.7779,48.23,51.19,9391
XGBoost,xgb_score,0.24,0.7765,47.33,50.29,9226
XGBoost,xgb_score,0.26,0.7765,46.27,49.23,9031
XGBoost,xgb_score,0.28,0.7808,45.08,48.05,8815
XGBoost,xgb_score,0.3,0.7722,43.74,46.68,8564
XGBoost,xgb_score,0.32,0.7665,42.52,45.44,8336
XGBoost,xgb_score,0.34,0.7593,41.19,44.08,8086
XGBoost,xgb_score,0.36,0.7579,39.74,42.62,7819
XGBoost,xgb_score,0.38,0.7493,38.17,41.02,7526
XGBoost,xgb_score,0.4,0.7378,36.69,39.5,7246
XGBoost,xgb_score,0.42,0.7221,34.85,37.6,6898
XGBoost,xgb_score,0.44,0.7049,32.89,35.57,6526
XGBoost,xgb_score,0.46,0.6948,30.81,33.46,6138
XGBoost,xgb_score,0.48,0.6734,28.71,31.28,5738
XGBoost,xgb_score,0.5,0.6619,26.33,28.85,5293
XGBoost,xgb_score,0.52,0.6418,24.26,26.7,4899
XGBoost,xgb_score,0.54,0.6117,21.98,24.31,4459
XGBoost,xgb_score,0.56,0.5931,19.51,21.77,3993
XGBoost,xgb_score,0.58,0.5759,17.09,19.29,3538
XGBoost,xgb_score,0.6,0.5559,15.0,17.12,3140
XGBoost,xgb_score,0.62,0.5258,13.01,15.01,2754
XGBoost,xgb_score,0.64,0.4871,11.35,13.2,2422
XGBoost,xgb_score,0.66,0.4542,9.79,11.52,2113
XGBoost,xgb_score,0.68,0.4398,8.24,9.91,1818
XGBoost,xgb_score,0.7000000000000001,0.4183,6.93,8.52,1563
XGBoost,xgb_score,0.72,0.3868,5.83,7.3,1339
XGBoost,xgb_score,0.74,0.3725,4.64,6.06,1112
XGBoost,xgb_score,0.76,0.3295,3.7,4.95,908
XGBoost,xgb_score,0.78,0.3095,2.96,4.14,759
XGBoost,xgb_score,0.8,0.2822,2.22,3.29,604
XGBoost,xgb_score,0.8200000000000001,0.2564,1.85,2.82,518
XGBoost,xgb_score,0.84,0.2163,1.49,2.32,425
XGBoost,xgb_score,0.86,0.1848,1.13,1.83,336
XGBoost,xgb_score,0.88,0.1619,0.84,1.46,267
XGBoost,xgb_score,0.9,0.1304,0.62,1.12,205
XGBoost,xgb_score,0.92,0.096,0.31,0.67,123
XGBoost,xgb_score,0.9400000000000001,0.043,0.12,0.28,52
XGBoost,xgb_score,0.96,0.0057,0.0,0.02,4
XGBoost,xgb_score,0.98,0.0,0.0,0.0,0
XGBoost,xgb_score,1.0,0.0,0.0,0.0,0
Lag-LLaMA (Zero-Shot),ll_score,0.0,0.7865,51.07,54.06,9918
Lag-LLaMA (Zero-Shot),ll_score,0.02,0.7149,34.18,36.9,6770
Lag-LLaMA (Zero-Shot),ll_score,0.04,0.5759,23.23,25.42,4664
Lag-LLaMA (Zero-Shot),ll_score,0.06,0.4914,17.92,19.79,3630
Lag-LLaMA (Zero-Shot),ll_score,0.08,0.414,14.69,16.27,2984
Lag-LLaMA (Zero-Shot),ll_score,0.1,0.3739,12.16,13.58,2491
Lag-LLaMA (Zero-Shot),ll_score,0.12,0.3223,10.36,11.59,2126
Lag-LLaMA (Zero-Shot),ll_score,0.14,0.2994,8.85,9.99,1832
Lag-LLaMA (Zero-Shot),ll_score,0.16,0.2722,7.72,8.76,1607
